source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
vsc-tx150,"TX150 Owner-Operator Opportunity Small-Animal Practice, San Antonio Metro, TX",,TX,379000,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx150-owner-operator-opportunity-small-animal-practice-san-antonio-metro-tx/,,,TX150
vsc-tx137,"TX137 Well Established, High Traffic Small Animal Clinic with Long Term Clients",,TX,,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx137-well-established-high-traffic-small-animal-clinic-with-long-term-clients/,3,,TX137
vsc-tx134,TX 134 Small Animal Veterinary Practice Dallas Location,,TX,,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx-134-small-animal-veterinary-practice-dallas-location/,2,,TX134
vsc-tx138,TX138 Dual Income Veterinary Practice and Global Pet Relocation,,TX,,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx138-dual-income-veterinary-practice-and-global-pet-relocation/,3,,TX138
vsc-tx145,TX145 Confidential Sale: Profitable Small Animal Veterinary Practice,,TX,,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx145-confidential-sale-profitable-small-animal-veterinary-practice/,2,,TX145
vsc-tx132,TX132 Profitable Mixed-Animal Practice North Central Texas,,TX,,,Mixed Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx132-profitable-mixed-animal-practice-north-central-texas/,,,TX132
vsc-tx146,TX146 Established Small Animal General Practice,,TX,,857000,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx146-established-small-animal-general-practice/,4,,TX146
vsc-tx139,TX139 Small Animal Practice with Reproductive Services Specialty,,TX,,,Emergency/Specialty,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx139-small-animal-practice-with-reproductive-services-specialty/,,,TX139
vsc-tx149,"TX149 Small-Animal Practice Dallas Metro, TX $900K Revenue Priced Below Market Value",,TX,,,Small Animal,Services I Want to Sell Seller Representation Seller FAQ Inquire Now Transaction Terms I Want to Buy Buyer Representative Buyer FAQ Buyer Profile Listing Match Emails Transaction Terms Transition Program Valuations Practice Enhancements Start-ups,Vet Sales Consulting,https://vetsalesconsulting.com/listing/tx149-small-animal-practice-dallas-metro-tx-900k-revenue-priced-below-market-value/,,,TX149
